datetime,open,high,low,close,volume
08-10-24 13:15,2641.56,2642.04,2640.44,2640.97,1507
08-10-24 13:30,2640.92,2644.32,2640.77,2641.89,2541
08-10-24 13:45,2641.88,2647.41,2641.54,2646.28,2763
08-10-24 14:00,2646.28,2648.65,2646.23,2646.31,2313
08-10-24 14:15,2646.3,2650.61,2646.21,2648.41,2985
08-10-24 14:30,2648.43,2651.57,2648.17,2650.17,2047
08-10-24 14:45,2650.18,2651.86,2650.18,2650.72,2443
08-10-24 15:00,2650.73,2652.34,2648.55,2652.14,3128
08-10-24 15:15,2652.14,2652.99,2648.41,2648.83,2357
08-10-24 15:30,2648.82,2649.56,2639.69,2646.54,4908
08-10-24 15:45,2646.54,2649.08,2644.88,2645.91,3945
08-10-24 16:00,2645.91,2647.69,2641.2,2642.95,4347
08-10-24 16:15,2642.92,2642.97,2636.63,2639.16,4623
08-10-24 16:30,2639.18,2641.59,2636.59,2639.94,5811
08-10-24 16:45,2639.93,2641.75,2636.87,2639.65,4494
08-10-24 17:00,2639.62,2640.4,2633.48,2634.06,4906
08-10-24 17:15,2634.06,2636.04,2626.1,2627.64,5817
08-10-24 17:30,2627.62,2628.12,2619.79,2625.07,6068
08-10-24 17:45,2625.07,2625.59,2620.31,2620.95,4540
08-10-24 18:00,2620.99,2621.15,2611.1,2612.37,5598
08-10-24 18:15,2612.38,2615.97,2609.38,2609.52,4786
08-10-24 18:30,2609.5,2611.04,2604.7,2610.19,4648
08-10-24 18:45,2610.19,2615.37,2609.28,2612.96,3837
08-10-24 19:00,2612.96,2616.04,2611.43,2615.35,3221
08-10-24 19:15,2615.35,2616.2,2613.24,2613.51,2459
08-10-24 19:30,2613.51,2614.12,2610,2610.83,2629
08-10-24 19:45,2610.84,2611.27,2606.64,2608.94,3688
08-10-24 20:00,2608.93,2616.21,2605.52,2613.07,3970
08-10-24 20:15,2613.05,2618.09,2612.68,2616.4,3046
08-10-24 20:30,2616.36,2617.25,2613.96,2616.19,1729
08-10-24 20:45,2616.17,2616.93,2614.1,2614.51,1590
08-10-24 21:00,2614.53,2616.28,2613.84,2614.67,2557
08-10-24 21:15,2614.66,2616.1,2614.61,2615.7,1397
08-10-24 21:30,2615.73,2616.98,2614.61,2615.33,1551
08-10-24 21:45,2615.32,2616.67,2615.05,2615.67,1556
08-10-24 22:00,2615.66,2617.8,2615.36,2617.75,1796
08-10-24 22:15,2617.71,2617.92,2614.89,2615.45,1416
08-10-24 22:30,2615.44,2618.4,2615.42,2618.34,1360
08-10-24 22:45,2618.31,2623.6,2618.24,2622.91,2803
08-10-24 23:00,2622.92,2623.08,2620.96,2622.52,1443
08-10-24 23:15,2622.52,2623.09,2621.93,2622.98,694
08-10-24 23:30,2622.9,2622.91,2618.85,2620.08,852
08-10-24 23:45,2620.08,2621.06,2619.91,2621.06,235
09-10-24 1:00,2621.72,2621.84,2620.97,2621.06,182
09-10-24 1:15,2621.09,2621.56,2620.56,2621.42,250
09-10-24 1:30,2621.42,2622.22,2621.25,2621.26,386
09-10-24 1:45,2621.24,2622.08,2621.15,2621.95,257
09-10-24 2:00,2621.95,2623.29,2621.12,2622.61,1009
09-10-24 2:15,2622.61,2623.76,2622.32,2623.13,810
09-10-24 2:30,2623.19,2623.28,2621.89,2622.7,722
09-10-24 2:45,2622.7,2623.11,2621.87,2621.98,483
09-10-24 3:00,2621.98,2623.19,2621.49,2622.6,1784
09-10-24 3:15,2622.6,2622.96,2621.97,2622.75,759
09-10-24 3:30,2622.75,2622.77,2621.64,2621.65,680
09-10-24 3:45,2621.65,2622.59,2620.89,2621.15,1189
09-10-24 4:00,2621.13,2622.4,2619.9,2620.27,3116
09-10-24 4:15,2620.27,2624.18,2619.84,2620.57,3118
09-10-24 4:30,2620.56,2622.1,2618.34,2621.78,3781
09-10-24 4:45,2621.77,2622.96,2619.87,2619.97,2907
09-10-24 5:00,2619.96,2619.96,2616.85,2619.7,3154
09-10-24 5:15,2619.68,2619.78,2618.07,2618.23,2235
09-10-24 5:30,2618.19,2619.57,2617.09,2619.57,2036
09-10-24 5:45,2619.58,2620.34,2618.17,2618.39,2618
09-10-24 6:00,2618.39,2618.81,2615.56,2615.91,2023
09-10-24 6:15,2615.96,2618.18,2615.17,2618.08,2258
09-10-24 6:30,2618.11,2618.26,2614.9,2616.03,1500
09-10-24 6:45,2616.02,2617.34,2615.55,2617.13,1330
09-10-24 7:00,2617.14,2618.57,2615.93,2616.82,741
