date_entry,date_exit,direction,entry,sl,tp1,tp2,tp3,qty,risk_usd,sl_bucket,tp1_hit,tp2_hit,exit_reason,exit_price,pnl,r_multiple
2026-02-12 11:05:00+00:00,2026-02-12 12:45:00+00:00,BUY,5075.04,5058.534230470351,5091.545769529649,5099.798654294474,5108.051539059298,6.0585,100.0,SL 15.0-30.0,False,False,SL,5058.534230470351,-100.0,-1.0
2026-02-12 14:45:00+00:00,2026-02-12 15:15:00+00:00,SELL,5055.1,5069.817067101874,5040.3829328981265,5033.0243993471895,5025.665865796253,6.7948,100.0,SL <= 15.0,False,False,SL,5069.817067101874,-100.0,-1.0
2026-02-12 16:55:00+00:00,2026-02-12 17:30:00+00:00,SELL,5044.32,5071.952427982859,5016.68757201714,5002.87135802571,4989.055144034281,3.6189,100.0,SL 15.0-30.0,False,False,SL,5071.952427982859,-100.0,-1.0
2026-02-12 18:10:00+00:00,2026-02-20 21:55:00+00:00,SELL,4951.27,5078.431715519351,4824.10828448065,4760.527426720974,4696.946568961299,0.7864,100.0,AVOID: SL > 30.0,False,False,SL,5078.431715519351,-100.0,-1.0
2026-02-20 23:35:00+00:00,2026-02-23 01:05:00+00:00,BUY,5099.76,5090.2410606105295,5109.278939389471,5114.038409084206,5118.797878778942,10.5054,100.0,SL <= 15.0,True,True,TP3,5118.797878778942,200.0,2.0
2026-02-23 03:40:00+00:00,2026-02-23 08:40:00+00:00,BUY,5166.01,5150.172122741054,5181.847877258946,5189.766815888419,5197.685754517892,6.314,100.0,SL 15.0-30.0,False,False,SL,5150.172122741054,-100.0,-1.0
2026-02-23 10:25:00+00:00,2026-02-23 10:55:00+00:00,SELL,5125.03,5141.350597928097,5108.709402071902,5100.549103107854,5092.388804143805,6.1272,100.0,SL 15.0-30.0,False,False,SL,5141.350597928097,-100.0,-1.0
2026-02-23 12:00:00+00:00,2026-02-23 16:00:00+00:00,BUY,5151.35,5141.675766847492,5161.024233152509,5165.861349728762,5170.698466305017,10.3367,100.0,SL <= 15.0,True,False,SL,5141.675766847492,-100.0,-1.0
2026-02-23 16:30:00+00:00,2026-02-23 22:00:00+00:00,BUY,5171.77,5147.0861911601705,5196.45380883983,5208.795713259746,5221.13761767966,4.0512,100.0,SL 15.0-30.0,True,True,TP3,5221.13761767966,200.0,2.0
2026-02-24 01:05:00+00:00,2026-02-24 02:00:00+00:00,BUY,5241.42,5224.989106352534,5257.850893647466,5266.0663404711995,5274.281787294933,6.0861,100.0,SL 15.0-30.0,False,False,SL,5224.989106352534,-100.0,-1.0
2026-02-24 03:00:00+00:00,2026-02-24 03:15:00+00:00,SELL,5212.96,5234.310577193933,5191.609422806067,5180.934134209101,5170.258845612135,4.6837,100.0,SL 15.0-30.0,True,True,TP3,5170.258845612135,200.0,2.0
2026-02-24 13:40:00+00:00,2026-02-24 14:00:00+00:00,BUY,5177.92,5169.526595553583,5186.313404446417,5190.510106669625,5194.706808892834,11.9141,100.0,SL <= 15.0,False,False,SL,5169.526595553583,-100.0,-1.0
2026-02-24 14:50:00+00:00,2026-02-24 16:10:00+00:00,SELL,5146.71,5166.314578382104,5127.105421617896,5117.303132426845,5107.500843235793,5.1008,100.0,SL 15.0-30.0,True,True,TP3,5107.500843235793,200.0,2.0
2026-02-24 17:15:00+00:00,2026-02-25 04:15:00+00:00,BUY,5140.04,5114.732092292132,5165.347907707868,5178.001861561803,5190.6558154157365,3.9513,100.0,SL 15.0-30.0,True,True,TP3,5190.6558154157365,200.0,2.0
2026-02-25 10:30:00+00:00,2026-02-25 10:55:00+00:00,BUY,5195.19,5184.751512080317,5205.628487919682,5210.847731879523,5216.066975839364,9.5799,100.0,SL <= 15.0,False,False,SL,5184.751512080317,-100.0,-1.0
2026-02-25 12:20:00+00:00,2026-02-25 17:00:00+00:00,SELL,5174.09,5196.539897967797,5151.640102032204,5140.415153048305,5129.190204064407,4.4544,100.0,SL 15.0-30.0,False,False,SL,5196.539897967797,-100.0,-1.0
2026-02-25 18:20:00+00:00,2026-02-25 22:15:00+00:00,BUY,5205.1,5187.446464580349,5222.753535419652,5231.580303129477,5240.407070839303,5.6646,100.0,SL 15.0-30.0,False,False,SL,5187.446464580349,-100.0,-1.0
2026-02-26 02:25:00+00:00,2026-02-26 16:30:00+00:00,BUY,5184.83,5153.634493394092,5216.025506605908,5231.623259908862,5247.221013211816,3.2056,100.0,AVOID: SL > 30.0,False,False,SL,5153.634493394092,-100.0,-1.0
2026-02-26 17:45:00+00:00,2026-03-02 01:05:00+00:00,BUY,5182.39,5126.92537038679,5237.854629613211,5265.586944419816,5293.319259226421,1.803,100.0,AVOID: SL > 30.0,True,True,TP3,5293.319259226421,200.0,2.0
2026-03-02 01:40:00+00:00,2026-03-02 03:00:00+00:00,BUY,5381.33,5339.199779941607,5423.460220058393,5444.52533008759,5465.590440116786,2.3736,100.0,AVOID: SL > 30.0,False,False,SL,5339.199779941607,-100.0,-1.0
2026-03-02 08:05:00+00:00,2026-03-02 09:15:00+00:00,BUY,5375.71,5356.897981334739,5394.522018665261,5403.928027997892,5413.334037330523,5.3158,100.0,SL 15.0-30.0,True,True,TP3,5413.334037330523,200.0,2.0
2026-03-02 12:00:00+00:00,2026-03-02 12:40:00+00:00,SELL,5385.6,5399.966063067153,5371.233936932847,5364.050905399271,5356.8678738656945,6.9608,100.0,SL <= 15.0,False,False,SL,5399.966063067153,-100.0,-1.0
2026-03-02 18:00:00+00:00,2026-03-03 02:15:00+00:00,SELL,5273.41,5354.344812888748,5192.475187111252,5152.007780666878,5111.540374222504,1.2356,100.0,AVOID: SL > 30.0,False,False,SL,5354.344812888748,-100.0,-1.0
2026-03-03 03:55:00+00:00,2026-03-03 11:25:00+00:00,SELL,5339.03,5379.704851800356,5298.355148199644,5278.017722299466,5257.680296399288,2.4585,100.0,AVOID: SL > 30.0,True,True,TP3,5257.680296399288,200.0,2.0
2026-03-03 13:05:00+00:00,2026-03-16 02:20:00+00:00,SELL,5170.85,5269.767155220531,5071.93284477947,5022.474267169204,4973.015689558939,1.0109,100.0,AVOID: SL > 30.0,True,True,TP3,4973.015689558939,200.0,2.0
