Trade ID,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Lots,SL at Exit,Exit Reason,PnL ($),Equity ($)
1201,2024-09-24 05:00:00,2024-09-24 06:00:00,Short,2627.53,2629.96,0.68,2630.43,Opposite Signal,-165.24,13833.71
1202,2024-09-24 06:00:00,2024-09-24 06:30:00,Long (Partial 50%),2629.96,2635.33,0.37,2629.96,Partial TP 1:2,198.56,14032.27
1202,2024-09-24 06:00:00,2024-09-24 07:00:00,Long,2629.96,2632.05,0.37,2632.05,Stop Loss,77.19,14109.47
1203,2024-09-24 08:30:00,2024-09-24 08:45:00,Short (Partial 50%),2633.34,2625.45,0.25,2633.34,Partial TP 1:2,197.14,14306.61
1203,2024-09-24 08:30:00,2024-09-24 09:45:00,Short,2633.34,2629.5,0.25,2629.5,Stop Loss,96.07,14402.68
1204,2024-09-24 09:45:00,2024-09-24 10:30:00,Long,2628.73,2623.62,0.39,2623.62,Stop Loss,-199.46,14203.22
1205,2024-09-24 10:30:00,2024-09-24 10:45:00,Short,2625.3,2628.93,0.38,2630.47,Opposite Signal,-137.94,14065.28
1206,2024-09-24 10:45:00,2024-09-24 14:00:00,Long,2628.93,2631.52,0.37,2623.62,Opposite Signal,95.83,14161.11
1207,2024-09-24 14:00:00,2024-09-24 15:45:00,Short,2631.52,2633.2,0.45,2635.91,Opposite Signal,-75.6,14085.51
1208,2024-09-24 15:45:00,2024-09-24 17:45:00,Long (Partial 50%),2633.2,2644.81,0.17,2633.2,Partial TP 1:2,197.31,14282.82
1208,2024-09-24 15:45:00,2024-09-24 18:45:00,Long,2633.2,2641.61,0.17,2641.61,Stop Loss,142.9,14425.72
1209,2024-09-24 23:30:00,2024-09-25 03:45:00,Short,2659.38,2660.78,0.42,2664.12,Opposite Signal,-58.8,14366.92
1210,2024-09-25 03:45:00,2024-09-25 04:15:00,Long,2660.78,2657.59,0.62,2657.59,Stop Loss,-197.9,14169.02
1211,2024-09-25 04:15:00,2024-09-25 04:45:00,Short,2658.26,2660.05,0.53,2661.98,Opposite Signal,-94.87,14074.15
1212,2024-09-25 04:45:00,2024-09-25 05:45:00,Long (Partial 50%),2660.05,2668.46,0.23,2660.05,Partial TP 1:2,193.39,14267.54
1212,2024-09-25 04:45:00,2024-09-25 06:00:00,Long,2660.05,2664.19,0.23,2660.35,Opposite Signal,95.22,14362.76
1213,2024-09-25 06:00:00,2024-09-25 10:00:00,Short (Partial 50%),2664.19,2652.66,0.17,2664.19,Partial TP 1:2,196.04,14558.8
1213,2024-09-25 06:00:00,2024-09-25 10:45:00,Short,2664.19,2656.45,0.17,2656.45,Stop Loss,131.62,14690.42
1214,2024-09-25 10:45:00,2024-09-25 17:00:00,Long (Partial 50%),2656.95,2666.7,0.2,2656.95,Partial TP 1:2,195.04,14885.46
1214,2024-09-25 10:45:00,2024-09-25 17:30:00,Long,2656.95,2662.24,0.2,2662.24,Stop Loss,105.78,14991.25
1215,2024-09-25 17:30:00,2024-09-25 19:45:00,Short (Partial 50%),2661.69,2649.78,0.16,2661.69,Partial TP 1:2,190.59,15181.84
1215,2024-09-25 17:30:00,2024-09-25 20:15:00,Short,2661.69,2658.95,0.17,2658.95,Stop Loss,46.53,15228.37
1216,2024-09-25 20:15:00,2024-09-25 23:30:00,Long,2660.43,2657.25,0.32,2654.36,Opposite Signal,-101.76,15126.61
1217,2024-09-25 23:30:00,2024-09-26 02:15:00,Short,2657.25,2659.29,0.61,2660.49,Opposite Signal,-124.44,15002.17
