Trade ID,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Lots,SL,Exit Reason,PnL ($),Equity ($)
84,2026-01-16 15:45:00,2026-01-16 17:20:00,Long,4601.78,4592.31,0.21,4592.31,Stop Loss,-198.78,98941.16
85,2026-01-16 17:20:00,2026-01-16 18:00:00,Short,4588.76,4578.62,0.17,4600.42,Opposite Signal,172.38,99113.54
86,2026-01-16 18:00:00,2026-01-19 09:15:00,Long,4578.62,4664.39,0.11,4561.12,Opposite Signal,943.47,100057.01
87,2026-01-19 09:15:00,2026-01-19 10:05:00,Short,4664.39,4670.14,0.34,4670.14,Stop Loss,-195.39,99861.63
88,2026-01-19 14:15:00,2026-01-19 15:50:00,Long,4670.29,4665.26,0.39,4665.26,Stop Loss,-196.22,99665.4
89,2026-01-19 16:05:00,2026-01-19 16:20:00,Short,4662.6,4667.34,0.42,4667.34,Stop Loss,-198.93,99466.47
90,2026-01-19 17:45:00,2026-01-19 21:10:00,Long,4672.53,4671.98,0.43,4667.97,Opposite Signal,-23.65,99442.82
91,2026-01-19 21:10:00,2026-01-20 03:00:00,Short,4671.98,4668.44,0.61,4675.24,Opposite Signal,215.94,99658.76
92,2026-01-20 03:00:00,2026-01-20 15:05:00,Long,4668.44,4723.12,0.41,4663.57,Opposite Signal,2241.88,101900.64
93,2026-01-20 15:05:00,2026-01-20 15:30:00,Short,4723.12,4728.11,0.4,4728.11,Stop Loss,-199.47,101701.17
94,2026-01-20 15:50:00,2026-01-20 16:30:00,Long,4731.77,4730.97,0.26,4724.12,Opposite Signal,-20.8,101680.37
95,2026-01-20 16:30:00,2026-01-20 16:45:00,Short,4730.97,4741.95,0.18,4741.95,Stop Loss,-197.57,101482.8
96,2026-01-20 18:45:00,2026-01-20 22:20:00,Long,4748.59,4749.73,0.2,4739.0,Opposite Signal,22.8,101505.6
97,2026-01-20 22:20:00,2026-01-20 22:55:00,Short,4749.73,4756.45,0.29,4756.45,Stop Loss,-194.95,101310.65
98,2026-01-20 23:45:00,2026-01-21 01:10:00,Long,4763.41,4758.56,0.41,4758.56,Stop Loss,-198.66,101111.99
99,2026-01-21 04:20:00,2026-01-21 04:30:00,Short,4818.53,4831.2,0.15,4831.2,Stop Loss,-190.02,100921.97
100,2026-01-21 05:05:00,2026-01-21 05:15:00,Long,4844.49,4832.65,0.16,4832.65,Stop Loss,-189.44,100732.54
101,2026-01-21 08:40:00,2026-01-21 10:15:00,Short,4861.32,4865.34,0.18,4872.22,Opposite Signal,-72.36,100660.18
102,2026-01-21 10:15:00,2026-01-21 10:55:00,Long,4865.34,4854.62,0.18,4854.62,Stop Loss,-192.98,100467.19
103,2026-01-21 14:15:00,2026-01-21 14:25:00,Short,4856.16,4862.72,0.3,4862.72,Stop Loss,-196.86,100270.33
104,2026-01-21 15:30:00,2026-01-21 16:00:00,Long,4871.36,4863.55,0.25,4863.55,Stop Loss,-195.18,100075.15
105,2026-01-21 16:00:00,2026-01-21 16:05:00,Short,4852.54,4863.15,0.18,4863.15,Stop Loss,-190.99,99884.16
106,2026-01-21 20:45:00,2026-01-21 21:25:00,Long,4842.92,4829.84,0.15,4829.84,Stop Loss,-196.24,99687.91
107,2026-01-21 21:25:00,2026-01-21 22:35:00,Short,4815.77,4805.3,0.12,4831.16,Opposite Signal,125.64,99813.55
108,2026-01-21 22:35:00,2026-01-22 01:05:00,Long,4805.3,4802.95,0.1,4786.13,Opposite Signal,-23.5,99790.05
109,2026-01-22 01:05:00,2026-01-22 03:20:00,Short,4802.95,4807.72,0.14,4817.22,Opposite Signal,-66.78,99723.27
110,2026-01-22 03:20:00,2026-01-22 03:25:00,Long,4807.72,4792.82,0.13,4792.82,Stop Loss,-193.64,99529.64
111,2026-01-22 11:35:00,2026-01-22 12:35:00,Short,4820.63,4827.82,0.27,4827.82,Stop Loss,-194.21,99335.43
112,2026-01-22 13:45:00,2026-01-22 14:00:00,Long,4833.33,4827.96,0.37,4827.96,Stop Loss,-198.87,99136.56
113,2026-01-22 14:05:00,2026-01-22 14:20:00,Short,4823.86,4829.67,0.34,4829.67,Stop Loss,-197.43,98939.13
114,2026-01-22 15:15:00,2026-01-22 15:30:00,Long,4831.44,4825.12,0.31,4825.12,Stop Loss,-195.89,98743.24
115,2026-01-22 15:40:00,2026-01-22 15:50:00,Short,4813.74,4822.14,0.23,4822.14,Stop Loss,-193.27,98549.97
116,2026-01-22 16:30:00,2026-01-22 17:00:00,Long,4842.56,4833.04,0.21,4833.04,Stop Loss,-199.95,98350.01
117,2026-01-23 01:30:00,2026-01-23 01:45:00,Short,4934.18,4944.12,0.2,4944.12,Stop Loss,-198.83,98151.19
118,2026-01-23 01:50:00,2026-01-23 03:00:00,Long,4955.96,4945.1,0.18,4945.1,Stop Loss,-195.56,97955.63
119,2026-01-23 03:05:00,2026-01-23 03:45:00,Short,4944.84,4957.54,0.15,4957.54,Stop Loss,-190.44,97765.19
120,2026-01-23 07:35:00,2026-01-23 08:05:00,Long,4959.03,4955.71,0.41,4954.2,Opposite Signal,-136.12,97629.07
121,2026-01-23 08:05:00,2026-01-23 12:25:00,Short,4955.71,4929.38,0.34,4961.43,Opposite Signal,895.22,98524.29
122,2026-01-23 12:25:00,2026-01-23 13:00:00,Long,4929.38,4920.16,0.21,4920.16,Stop Loss,-193.66,98330.63
123,2026-01-23 19:55:00,2026-01-23 20:00:00,Short,4965.58,4975.07,0.21,4975.07,Stop Loss,-199.2,98131.43
124,2026-01-23 21:45:00,2026-01-23 22:05:00,Long,4982.7,4974.04,0.23,4974.04,Stop Loss,-199.13,97932.3
125,2026-01-26 07:10:00,2026-01-26 07:45:00,Short,5059.88,5069.84,0.2,5069.84,Stop Loss,-199.19,97733.11
126,2026-01-26 08:00:00,2026-01-26 08:10:00,Long,5079.25,5067.51,0.17,5067.51,Stop Loss,-199.55,97533.56
127,2026-01-26 08:55:00,2026-01-26 09:10:00,Short,5077.56,5092.02,0.13,5092.02,Stop Loss,-187.97,97345.59
128,2026-01-26 16:35:00,2026-01-26 17:30:00,Long,5089.27,5077.6,0.17,5077.6,Stop Loss,-198.37,97147.22
129,2026-01-26 18:25:00,2026-01-26 18:55:00,Short,5075.84,5090.58,0.13,5090.58,Stop Loss,-191.67,96955.55
130,2026-01-26 19:40:00,2026-01-26 20:05:00,Long,5102.17,5088.13,0.14,5088.13,Stop Loss,-196.58,96758.97
131,2026-01-26 20:30:00,2026-01-27 01:15:00,Short,5073.5,5047.15,0.14,5087.51,Opposite Signal,368.9,97127.87
132,2026-01-27 01:15:00,2026-01-27 02:45:00,Long,5047.15,5027.27,0.1,5027.27,Stop Loss,-198.81,96929.06
133,2026-01-27 02:45:00,2026-01-27 03:05:00,Short,5023.67,5037.18,0.14,5037.18,Stop Loss,-189.13,96739.93
134,2026-01-27 03:10:00,2026-01-27 04:00:00,Long,5071.55,5054.55,0.11,5054.55,Stop Loss,-187.01,96552.92
135,2026-01-27 13:45:00,2026-01-27 14:05:00,Short,5075.58,5082.64,0.28,5082.64,Stop Loss,-197.78,96355.14
